TTPS Crime Statistics

Year,Month,Division,Offence Code,Offence,Reported,Detected
2025,January,Central,1,Murders,7,1
2025,January,Central,10,"Rapes, Incest and Sexual Offences",14,1
2025,January,Central,15,Serious Indecency,0,0
2025,January,Central,16,Kidnapping,0,0
2025,January,Central,16R,Kidnapping for Ransom,0,0
2025,January,Central,21,Burglaries and Breakings,18,3
2025,January,Central,22,Robberies,29,6
2025,January,Central,30,Fraud Offences,12,1
2025,January,Central,34,General Larceny,21,8
2025,January,Central,34A,Larceny Motor Vehicles,11,3
2025,January,Central,38,Larceny Dwelling House,1,1
2025,January,Central,69,Narcotics,3,3
2025,January,Central,69A,Other,15,8
2025,January,Central,8,Woundings and Shootings,11,6
2025,January,Central,85,Possession of Firearms and Ammunition,20,20
2025,January,Eastern,1,Murders,3,2
2025,January,Eastern,10,"Rapes, Incest and Sexual Offences",7,0
2025,January,Eastern,15,Serious Indecency,0,0
2025,January,Eastern,16,Kidnapping,3,1
2025,January,Eastern,16R,Kidnapping for Ransom,0,0
2025,January,Eastern,21,Burglaries and Breakings,6,4
2025,January,Eastern,22,Robberies,8,3
2025,January,Eastern,30,Fraud Offences,2,0
2025,January,Eastern,34,General Larceny,5,2
2025,January,Eastern,34A,Larceny Motor Vehicles,3,1
2025,January,Eastern,38,Larceny Dwelling House,1,1
2025,January,Eastern,69,Narcotics,4,4
2025,January,Eastern,69A,Other,3,0
2025,January,Eastern,8,Woundings and Shootings,9,6
2025,January,Eastern,85,Possession of Firearms and Ammunition,22,22
2025,January,North Eastern,1,Murders,1,0
2025,January,North Eastern,10,"Rapes, Incest and Sexual Offences",8,0
2025,January,North Eastern,15,Serious Indecency,1,0
2025,January,North Eastern,16,Kidnapping,1,1
2025,January,North Eastern,16R,Kidnapping for Ransom,0,0
2025,January,North Eastern,21,Burglaries and Breakings,11,3
2025,January,North Eastern,22,Robberies,11,5
2025,January,North Eastern,30,Fraud Offences,6,2
2025,January,North Eastern,34,General Larceny,14,4
2025,January,North Eastern,34A,Larceny Motor Vehicles,10,1
2025,January,North Eastern,38,Larceny Dwelling House,0,0
2025,January,North Eastern,69,Narcotics,0,0
2025,January,North Eastern,69A,Other,7,1
2025,January,North Eastern,8,Woundings and Shootings,5,1
2025,January,North Eastern,85,Possession of Firearms and Ammunition,16,16
2025,January,Northern,1,Murders,5,5
2025,January,Northern,10,"Rapes, Incest and Sexual Offences",14,2
2025,January,Northern,15,Serious Indecency,0,0
2025,January,Northern,16,Kidnapping,5,1
2025,January,Northern,16R,Kidnapping for Ransom,0,0
2025,January,Northern,21,Burglaries and Breakings,39,8
2025,January,Northern,22,Robberies,43,9
2025,January,Northern,30,Fraud Offences,15,4
2025,January,Northern,34,General Larceny,49,6
2025,January,Northern,34A,Larceny Motor Vehicles,14,0
2025,January,Northern,38,Larceny Dwelling House,1,0
2025,January,Northern,69,Narcotics,8,8
2025,January,Northern,69A,Other,23,14
2025,January,Northern,8,Woundings and Shootings,11,1
2025,January,Northern,85,Possession of Firearms and Ammunition,14,14
2025,January,Port of Spain,1,Murders,5,0
2025,January,Port of Spain,10,"Rapes, Incest and Sexual Offences",9,0
2025,January,Port of Spain,15,Serious Indecency,1,1
2025,January,Port of Spain,16,Kidnapping,0,0
2025,January,Port of Spain,16R,Kidnapping for Ransom,0,0
2025,January,Port of Spain,21,Burglaries and Breakings,12,2
2025,January,Port of Spain,22,Robberies,19,1
2025,January,Port of Spain,30,Fraud Offences,3,1
2025,January,Port of Spain,34,General Larceny,32,15
2025,January,Port of Spain,34A,Larceny Motor Vehicles,5,0
2025,January,Port of Spain,38,Larceny Dwelling House,1,0
2025,January,Port of Spain,69,Narcotics,5,5
2025,January,Port of Spain,69A,Other,5,3
2025,January,Port of Spain,8,Woundings and Shootings,1,1
2025,January,Port of Spain,85,Possession of Firearms and Ammunition,9,9
2025,January,South Western,1,Murders,2,0
2025,January,South Western,10,"Rapes, Incest and Sexual Offences",12,2
2025,January,South Western,15,Serious Indecency,0,0
2025,January,South Western,16,Kidnapping,0,0
2025,January,South Western,16R,Kidnapping for Ransom,0,0
2025,January,South Western,21,Burglaries and Breakings,6,3
2025,January,South Western,22,Robberies,10,5
2025,January,South Western,30,Fraud Offences,2,0
2025,January,South Western,34,General Larceny,4,1
2025,January,South Western,34A,Larceny Motor Vehicles,1,1
2025,January,South Western,38,Larceny Dwelling House,0,0
2025,January,South Western,69,Narcotics,6,6
2025,January,South Western,69A,Other,2,2
2025,January,South Western,8,Woundings and Shootings,0,0
2025,January,South Western,85,Possession of Firearms and Ammunition,8,8
2025,January,Southern,1,Murders,5,2
2025,January,Southern,10,"Rapes, Incest and Sexual Offences",22,4
2025,January,Southern,15,Serious Indecency,1,1
2025,January,Southern,16,Kidnapping,4,4
2025,January,Southern,16R,Kidnapping for Ransom,0,0
2025,January,Southern,21,Burglaries and Breakings,8,5
2025,January,Southern,22,Robberies,14,5
2025,January,Southern,30,Fraud Offences,13,0
2025,January,Southern,34,General Larceny,13,6
2025,January,Southern,34A,Larceny Motor Vehicles,6,0
2025,January,Southern,38,Larceny Dwelling House,1,1
2025,January,Southern,69,Narcotics,13,13
2025,January,Southern,69A,Other,13,11
2025,January,Southern,8,Woundings and Shootings,4,0
2025,January,Southern,85,Possession of Firearms and Ammunition,28,28
2025,January,Tobago,1,Murders,2,2
2025,January,Tobago,10,"Rapes, Incest and Sexual Offences",14,7
2025,January,Tobago,15,Serious Indecency,1,0
2025,January,Tobago,16,Kidnapping,1,0
2025,January,Tobago,16R,Kidnapping for Ransom,0,0
2025,January,Tobago,21,Burglaries and Breakings,24,1
2025,January,Tobago,22,Robberies,2,1
2025,January,Tobago,30,Fraud Offences,2,0
2025,January,Tobago,34,General Larceny,12,4
2025,January,Tobago,34A,Larceny Motor Vehicles,0,0
2025,January,Tobago,38,Larceny Dwelling House,1,0
2025,January,Tobago,69,Narcotics,5,5
2025,January,Tobago,69A,Other,3,1
2025,January,Tobago,8,Woundings and Shootings,5,4
2025,January,Tobago,85,Possession of Firearms and Ammunition,13,13
2025,January,Western,1,Murders,3,0
2025,January,Western,10,"Rapes, Incest and Sexual Offences",16,10
2025,January,Western,15,Serious Indecency,0,0
2025,January,Western,16,Kidnapping,1,1
2025,January,Western,16R,Kidnapping for Ransom,0,0
2025,January,Western,21,Burglaries and Breakings,4,1
2025,January,Western,22,Robberies,7,1
2025,January,Western,30,Fraud Offences,1,0
2025,January,Western,34,General Larceny,15,4
2025,January,Western,34A,Larceny Motor Vehicles,11,1
2025,January,Western,38,Larceny Dwelling House,1,0
2025,January,Western,69,Narcotics,2,2
2025,January,Western,69A,Other,2,1
2025,January,Western,8,Woundings and Shootings,1,0
2025,January,Western,85,Possession of Firearms and Ammunition,2,2
2025,February,Central,1,Murders,4,0
2025,February,Central,10,"Rapes, Incest and Sexual Offences",19,1
2025,February,Central,15,Serious Indecency,2,0
2025,February,Central,16,Kidnapping,4,3
2025,February,Central,16R,Kidnapping for Ransom,0,0
2025,February,Central,21,Burglaries and Breakings,15,4
2025,February,Central,22,Robberies,25,4
2025,February,Central,30,Fraud Offences,21,13
2025,February,Central,34,General Larceny,22,5
2025,February,Central,34A,Larceny Motor Vehicles,17,4
