lat,long,grid_id,incr
10.050000000000002,-61.89,1_3,0.02
10.07,-61.89000000000001,1_4,0.02
10.09,-61.89000000000001,1_5,0.02
10.05,-61.86999999999999,2_3,0.02
10.07,-61.870000000000005,2_4,0.02
10.09,-61.870000000000005,2_5,0.02
10.07,-61.85,3_4,0.02
10.09,-61.85,3_5,0.02
10.110000000000001,-61.85,3_6,0.02
10.07,-61.83,4_4,0.02
10.09,-61.83,4_5,0.02
10.109999999999998,-61.83,4_6,0.02
10.129999999999997,-61.82999999999999,4_7,0.02
10.09,-61.809999999999995,5_5,0.02
10.110000000000001,-61.809999999999995,5_6,0.02
10.129999999999999,-61.81,5_7,0.02
10.15,-61.809999999999995,5_8,0.02
10.07,-61.790000000000006,6_4,0.02
10.09,-61.790000000000006,6_5,0.02
10.109999999999998,-61.790000000000006,6_6,0.02
10.129999999999997,-61.79,6_7,0.02
10.15,-61.790000000000006,6_8,0.02
10.07,-61.77,7_4,0.02
10.09,-61.77,7_5,0.02
10.110000000000001,-61.77,7_6,0.02
10.129999999999999,-61.77,7_7,0.02
10.15,-61.77,7_8,0.02
10.67,-61.77,7_34,0.02
10.690000000000001,-61.77,7_35,0.02
10.09,-61.75000000000001,8_5,0.02
10.109999999999998,-61.75000000000001,8_6,0.02
10.129999999999997,-61.74999999999999,8_7,0.02
10.15,-61.75000000000001,8_8,0.02
10.67,-61.75000000000001,8_34,0.02
10.690000000000001,-61.75000000000001,8_35,0.02
10.71,-61.74999999999999,8_36,0.02
10.09,-61.730000000000004,9_5,0.02
10.110000000000001,-61.730000000000004,9_6,0.02
10.129999999999999,-61.730000000000004,9_7,0.02
10.15,-61.730000000000004,9_8,0.02
10.690000000000001,-61.730000000000004,9_35,0.02
10.710000000000003,-61.730000000000004,9_36,0.02
10.09,-61.709999999999994,10_5,0.02
10.110000000000001,-61.709999999999994,10_6,0.02
10.129999999999999,-61.71,10_7,0.02
10.15,-61.709999999999994,10_8,0.02
10.17,-61.709999999999994,10_9,0.02
10.21,-61.71,10_11,0.02
10.690000000000001,-61.709999999999994,10_35,0.02
10.710000000000003,-61.71,10_36,0.02
10.09,-61.69,11_5,0.02
10.109999999999998,-61.69,11_6,0.02
10.129999999999997,-61.69,11_7,0.02
10.15,-61.69,11_8,0.02
10.17,-61.69,11_9,0.02
10.19,-61.69,11_10,0.02
10.209999999999999,-61.69,11_11,0.02
10.67,-61.69,11_34,0.02
10.690000000000001,-61.69,11_35,0.02
10.71,-61.69,11_36,0.02
10.07,-61.669999999999995,12_4,0.02
10.09,-61.669999999999995,12_5,0.02
10.110000000000001,-61.669999999999995,12_6,0.02
10.129999999999999,-61.669999999999995,12_7,0.02
10.15,-61.669999999999995,12_8,0.02
10.17,-61.669999999999995,12_9,0.02
10.19,-61.669999999999995,12_10,0.02
10.67,-61.669999999999995,12_34,0.02
10.690000000000001,-61.669999999999995,12_35,0.02
10.710000000000003,-61.669999999999995,12_36,0.02
10.05,-61.65,13_3,0.02
10.07,-61.64999999999999,13_4,0.02
10.09,-61.64999999999999,13_5,0.02
10.109999999999998,-61.64999999999999,13_6,0.02
10.129999999999997,-61.65,13_7,0.02
10.15,-61.64999999999999,13_8,0.02
10.17,-61.64999999999999,13_9,0.02
10.19,-61.64999999999999,13_10,0.02
10.209999999999999,-61.65,13_11,0.02
10.67,-61.64999999999999,13_34,0.02
10.690000000000001,-61.64999999999999,13_35,0.02
10.71,-61.65,13_36,0.02
10.73,-61.64999999999999,13_37,0.02
10.050000000000002,-61.62999999999999,14_3,0.02
10.07,-61.629999999999995,14_4,0.02
10.09,-61.629999999999995,14_5,0.02
10.110000000000001,-61.629999999999995,14_6,0.02
10.129999999999999,-61.62999999999999,14_7,0.02
10.15,-61.629999999999995,14_8,0.02
10.17,-61.629999999999995,14_9,0.02
10.19,-61.629999999999995,14_10,0.02
10.21,-61.62999999999999,14_11,0.02
10.23,-61.629999999999995,14_12,0.02
10.25,-61.629999999999995,14_13,0.02
10.649999999999999,-61.629999999999995,14_33,0.02
10.67,-61.629999999999995,14_34,0.02
10.690000000000001,-61.629999999999995,14_35,0.02
10.710000000000003,-61.62999999999999,14_36,0.02
10.73,-61.629999999999995,14_37,0.02
10.750000000000002,-61.629999999999995,14_38,0.02
10.05,-61.61,15_3,0.02
10.07,-61.61,15_4,0.02
10.09,-61.61,15_5,0.02
10.109999999999998,-61.61,15_6,0.02
10.129999999999997,-61.61,15_7,0.02
10.15,-61.61,15_8,0.02
10.17,-61.61,15_9,0.02
10.19,-61.61,15_10,0.02
10.209999999999999,-61.61,15_11,0.02
10.23,-61.61,15_12,0.02
10.25,-61.61,15_13,0.02
10.67,-61.61,15_34,0.02
10.690000000000001,-61.61,15_35,0.02
10.71,-61.61,15_36,0.02
10.73,-61.61,15_37,0.02
10.749999999999998,-61.61,15_38,0.02
10.07,-61.589999999999996,16_4,0.02
10.09,-61.589999999999996,16_5,0.02
10.110000000000001,-61.589999999999996,16_6,0.02
10.129999999999999,-61.59,16_7,0.02
10.15,-61.589999999999996,16_8,0.02
10.17,-61.589999999999996,16_9,0.02
10.19,-61.589999999999996,16_10,0.02
10.21,-61.59,16_11,0.02
10.23,-61.589999999999996,16_12,0.02
10.25,-61.589999999999996,16_13,0.02
10.690000000000001,-61.589999999999996,16_35,0.02
10.710000000000003,-61.59,16_36,0.02
10.73,-61.589999999999996,16_37,0.02
10.750000000000002,-61.589999999999996,16_38,0.02
10.07,-61.57,17_4,0.02
10.09,-61.57,17_5,0.02
10.110000000000001,-61.57,17_6,0.02
10.129999999999999,-61.569999999999986,17_7,0.02
10.15,-61.57,17_8,0.02
10.17,-61.57,17_9,0.02
10.19,-61.57,17_10,0.02
10.21,-61.569999999999986,17_11,0.02
10.23,-61.57,17_12,0.02
10.67,-61.57,17_34,0.02
10.690000000000001,-61.57,17_35,0.02
10.710000000000003,-61.569999999999986,17_36,0.02
10.73,-61.57,17_37,0.02
10.750000000000002,-61.57,17_38,0.02
10.07,-61.55,18_4,0.02
10.09,-61.55,18_5,0.02
10.109999999999998,-61.55,18_6,0.02
10.129999999999997,-61.550000000000004,18_7,0.02
10.15,-61.55,18_8,0.02
10.17,-61.55,18_9,0.02
10.19,-61.55,18_10,0.02
10.209999999999999,-61.550000000000004,18_11,0.02
10.23,-61.55,18_12,0.02
10.67,-61.55,18_34,0.02
10.690000000000001,-61.55,18_35,0.02
10.71,-61.550000000000004,18_36,0.02
10.73,-61.55,18_37,0.02
10.749999999999998,-61.55,18_38,0.02
10.07,-61.529999999999994,19_4,0.02
10.09,-61.529999999999994,19_5,0.02
10.110000000000001,-61.529999999999994,19_6,0.02
10.129999999999999,-61.53,19_7,0.02
10.15,-61.529999999999994,19_8,0.02
10.17,-61.529999999999994,19_9,0.02
10.19,-61.529999999999994,19_10,0.02
10.21,-61.53,19_11,0.02
10.23,-61.529999999999994,19_12,0.02
10.649999999999999,-61.529999999999994,19_33,0.02
10.67,-61.529999999999994,19_34,0.02
10.690000000000001,-61.529999999999994,19_35,0.02
10.710000000000003,-61.53,19_36,0.02
10.73,-61.529999999999994,19_37,0.02
10.750000000000002,-61.529999999999994,19_38,0.02
10.07,-61.50999999999999,20_4,0.02
10.09,-61.50999999999999,20_5,0.02
10.109999999999998,-61.50999999999999,20_6,0.02
10.129999999999997,-61.51,20_7,0.02
10.15,-61.50999999999999,20_8,0.02
10.17,-61.50999999999999,20_9,0.02
10.19,-61.50999999999999,20_10,0.02
10.209999999999999,-61.51,20_11,0.02
10.23,-61.50999999999999,20_12,0.02
10.25,-61.50999999999999,20_13,0.02
10.629999999999999,-61.51,20_32,0.02
10.65,-61.50999999999999,20_33,0.02
10.67,-61.50999999999999,20_34,0.02
10.690000000000001,-61.50999999999999,20_35,0.02
10.71,-61.51,20_36,0.02
10.73,-61.50999999999999,20_37,0.02
10.749999999999998,-61.50999999999999,20_38,0.02
10.770000000000001,-61.50999999999999,20_39,0.02
10.07,-61.489999999999995,21_4,0.02
10.09,-61.489999999999995,21_5,0.02
10.110000000000001,-61.489999999999995,21_6,0.02
10.129999999999999,-61.489999999999995,21_7,0.02
10.15,-61.489999999999995,21_8,0.02
10.17,-61.489999999999995,21_9,0.02
10.19,-61.489999999999995,21_10,0.02
10.21,-61.489999999999995,21_11,0.02
10.23,-61.489999999999995,21_12,0.02
10.25,-61.489999999999995,21_13,0.02
10.370000000000001,-61.489999999999995,21_19,0.02
10.39,-61.489999999999995,21_20,0.02
10.41,-61.489999999999995,21_21,0.02
10.43,-61.489999999999995,21_22,0.02
10.450000000000001,-61.489999999999995,21_23,0.02
10.469999999999999,-61.489999999999995,21_24,0.02
10.59,-61.489999999999995,21_30,0.02
10.61,-61.489999999999995,21_31,0.02
10.629999999999999,-61.489999999999995,21_32,0.02
10.649999999999999,-61.489999999999995,21_33,0.02
10.67,-61.489999999999995,21_34,0.02
10.690000000000001,-61.489999999999995,21_35,0.02
10.710000000000003,-61.489999999999995,21_36,0.02
10.73,-61.489999999999995,21_37,0.02
10.750000000000002,-61.489999999999995,21_38,0.02
10.77,-61.489999999999995,21_39,0.02
10.07,-61.470000000000006,22_4,0.02
10.09,-61.470000000000006,22_5,0.02
10.109999999999998,-61.470000000000006,22_6,0.02
10.129999999999997,-61.47,22_7,0.02
10.15,-61.470000000000006,22_8,0.02
10.17,-61.470000000000006,22_9,0.02
10.19,-61.470000000000006,22_10,0.02
10.209999999999999,-61.47,22_11,0.02
10.23,-61.470000000000006,22_12,0.02
10.25,-61.470000000000006,22_13,0.02
10.27,-61.470000000000006,22_14,0.02
10.290000000000001,-61.47,22_15,0.02
10.309999999999999,-61.470000000000006,22_16,0.02
10.33,-61.470000000000006,22_17,0.02
10.35,-61.470000000000006,22_18,0.02
10.370000000000001,-61.47,22_19,0.02
10.39,-61.470000000000006,22_20,0.02
10.41,-61.470000000000006,22_21,0.02
10.429999999999998,-61.470000000000006,22_22,0.02
10.45,-61.47,22_23,0.02
10.47,-61.470000000000006,22_24,0.02
10.49,-61.470000000000006,22_25,0.02
10.51,-61.470000000000006,22_26,0.02
10.53,-61.470000000000006,22_27,0.02
10.55,-61.47,22_28,0.02
10.57,-61.470000000000006,22_29,0.02
10.59,-61.470000000000006,22_30,0.02
10.61,-61.470000000000006,22_31,0.02
10.629999999999999,-61.47,22_32,0.02
10.65,-61.470000000000006,22_33,0.02
10.67,-61.470000000000006,22_34,0.02
10.690000000000001,-61.470000000000006,22_35,0.02
10.71,-61.47,22_36,0.02
10.73,-61.470000000000006,22_37,0.02
10.749999999999998,-61.470000000000006,22_38,0.02
10.770000000000001,-61.470000000000006,22_39,0.02
10.07,-61.45,23_4,0.02
10.09,-61.45,23_5,0.02
10.110000000000001,-61.45,23_6,0.02
10.129999999999999,-61.449999999999996,23_7,0.02
10.15,-61.45,23_8,0.02
10.17,-61.45,23_9,0.02
10.19,-61.45,23_10,0.02
10.21,-61.449999999999996,23_11,0.02
10.23,-61.45,23_12,0.02
10.25,-61.45,23_13,0.02
10.27,-61.45,23_14,0.02
10.29,-61.449999999999996,23_15,0.02
10.31,-61.45,23_16,0.02
10.33,-61.45,23_17,0.02
10.35,-61.45,23_18,0.02
10.370000000000001,-61.449999999999996,23_19,0.02
10.39,-61.45,23_20,0.02
10.41,-61.45,23_21,0.02
10.43,-61.45,23_22,0.02
10.450000000000001,-61.449999999999996,23_23,0.02
10.469999999999999,-61.45,23_24,0.02
10.49,-61.45,23_25,0.02
10.51,-61.45,23_26,0.02
10.53,-61.45,23_27,0.02
10.550000000000002,-61.449999999999996,23_28,0.02
10.57,-61.45,23_29,0.02
10.59,-61.45,23_30,0.02
10.61,-61.45,23_31,0.02
10.629999999999999,-61.449999999999996,23_32,0.02
10.649999999999999,-61.45,23_33,0.02
10.67,-61.45,23_34,0.02
10.690000000000001,-61.45,23_35,0.02
10.710000000000003,-61.449999999999996,23_36,0.02
10.73,-61.45,23_37,0.02
10.750000000000002,-61.45,23_38,0.02
10.77,-61.45,23_39,0.02
10.07,-61.43000000000001,24_4,0.02
10.09,-61.43000000000001,24_5,0.02
10.109999999999998,-61.43000000000001,24_6,0.02
10.129999999999997,-61.43000000000001,24_7,0.02
10.15,-61.43000000000001,24_8,0.02
10.17,-61.43000000000001,24_9,0.02
10.19,-61.43000000000001,24_10,0.02
10.209999999999999,-61.43000000000001,24_11,0.02
10.23,-61.43000000000001,24_12,0.02
10.25,-61.43000000000001,24_13,0.02
10.27,-61.43000000000001,24_14,0.02
10.290000000000001,-61.43000000000001,24_15,0.02
10.309999999999999,-61.43000000000001,24_16,0.02
10.33,-61.43000000000001,24_17,0.02
10.35,-61.43000000000001,24_18,0.02
10.370000000000001,-61.43000000000001,24_19,0.02
10.39,-61.43000000000001,24_20,0.02
10.41,-61.43000000000001,24_21,0.02
10.429999999999998,-61.43000000000001,24_22,0.02
10.45,-61.43000000000001,24_23,0.02
10.47,-61.43000000000001,24_24,0.02
10.49,-61.43000000000001,24_25,0.02
10.51,-61.43000000000001,24_26,0.02
10.53,-61.43000000000001,24_27,0.02
10.55,-61.43000000000001,24_28,0.02
10.57,-61.43000000000001,24_29,0.02
10.59,-61.43000000000001,24_30,0.02
10.61,-61.43000000000001,24_31,0.02
10.629999999999999,-61.43000000000001,24_32,0.02
10.65,-61.43000000000001,24_33,0.02
10.67,-61.43000000000001,24_34,0.02
10.690000000000001,-61.43000000000001,24_35,0.02
10.71,-61.43000000000001,24_36,0.02
10.73,-61.43000000000001,24_37,0.02
10.749999999999998,-61.43000000000001,24_38,0.02
10.770000000000001,-61.43000000000001,24_39,0.02
10.07,-61.41,25_4,0.02
10.09,-61.41,25_5,0.02
10.110000000000001,-61.41,25_6,0.02
10.129999999999999,-61.410000000000004,25_7,0.02
10.15,-61.41,25_8,0.02
10.17,-61.41,25_9,0.02
10.19,-61.41,25_10,0.02
10.21,-61.410000000000004,25_11,0.02
10.23,-61.41,25_12,0.02
10.25,-61.41,25_13,0.02
10.27,-61.41,25_14,0.02
10.29,-61.410000000000004,25_15,0.02
10.31,-61.41,25_16,0.02
10.33,-61.41,25_17,0.02
10.35,-61.41,25_18,0.02
10.370000000000001,-61.410000000000004,25_19,0.02
10.39,-61.41,25_20,0.02
10.41,-61.41,25_21,0.02
10.43,-61.41,25_22,0.02
10.450000000000001,-61.410000000000004,25_23,0.02
10.469999999999999,-61.41,25_24,0.02
10.49,-61.41,25_25,0.02
10.51,-61.41,25_26,0.02
10.53,-61.41,25_27,0.02
10.550000000000002,-61.410000000000004,25_28,0.02
10.57,-61.41,25_29,0.02
10.59,-61.41,25_30,0.02
10.61,-61.41,25_31,0.02
10.629999999999999,-61.410000000000004,25_32,0.02
10.649999999999999,-61.41,25_33,0.02
10.67,-61.41,25_34,0.02
10.690000000000001,-61.41,25_35,0.02
10.710000000000003,-61.410000000000004,25_36,0.02
10.73,-61.41,25_37,0.02
10.750000000000002,-61.41,25_38,0.02
10.77,-61.41,25_39,0.02
10.79,-61.410000000000004,25_40,0.02
10.07,-61.39,26_4,0.02
10.09,-61.39,26_5,0.02
10.110000000000001,-61.39,26_6,0.02
10.129999999999999,-61.38999999999999,26_7,0.02
10.15,-61.39,26_8,0.02
10.17,-61.39,26_9,0.02
10.19,-61.39,26_10,0.02
10.21,-61.38999999999999,26_11,0.02
10.23,-61.39,26_12,0.02
10.25,-61.39,26_13,0.02
10.27,-61.39,26_14,0.02
10.29,-61.38999999999999,26_15,0.02
10.31,-61.39,26_16,0.02
10.33,-61.39,26_17,0.02
10.35,-61.39,26_18,0.02
10.370000000000001,-61.38999999999999,26_19,0.02
10.39,-61.39,26_20,0.02
10.41,-61.39,26_21,0.02
10.43,-61.39,26_22,0.02
10.450000000000001,-61.38999999999999,26_23,0.02
10.469999999999999,-61.39,26_24,0.02
10.49,-61.39,26_25,0.02
10.51,-61.39,26_26,0.02
10.53,-61.39,26_27,0.02
10.550000000000002,-61.38999999999999,26_28,0.02
10.57,-61.39,26_29,0.02
10.59,-61.39,26_30,0.02
10.61,-61.39,26_31,0.02
10.629999999999999,-61.38999999999999,26_32,0.02
10.649999999999999,-61.39,26_33,0.02
10.67,-61.39,26_34,0.02
10.690000000000001,-61.39,26_35,0.02
10.710000000000003,-61.38999999999999,26_36,0.02
10.73,-61.39,26_37,0.02
10.750000000000002,-61.39,26_38,0.02
10.77,-61.39,26_39,0.02
10.79,-61.38999999999999,26_40,0.02
10.07,-61.37,27_4,0.02
10.09,-61.37,27_5,0.02
10.109999999999998,-61.37,27_6,0.02
10.129999999999997,-61.370000000000005,27_7,0.02
10.15,-61.37,27_8,0.02
10.17,-61.37,27_9,0.02
10.19,-61.37,27_10,0.02
10.209999999999999,-61.370000000000005,27_11,0.02
10.23,-61.37,27_12,0.02
10.25,-61.37,27_13,0.02
10.27,-61.37,27_14,0.02
10.290000000000001,-61.370000000000005,27_15,0.02
10.309999999999999,-61.37,27_16,0.02
10.33,-61.37,27_17,0.02
10.35,-61.37,27_18,0.02
10.370000000000001,-61.370000000000005,27_19,0.02
10.39,-61.37,27_20,0.02
10.41,-61.37,27_21,0.02
10.429999999999998,-61.37,27_22,0.02
10.45,-61.370000000000005,27_23,0.02
10.47,-61.37,27_24,0.02
10.49,-61.37,27_25,0.02
10.51,-61.37,27_26,0.02
10.53,-61.37,27_27,0.02
10.55,-61.370000000000005,27_28,0.02
10.57,-61.37,27_29,0.02
10.59,-61.37,27_30,0.02
10.61,-61.37,27_31,0.02
10.629999999999999,-61.370000000000005,27_32,0.02
10.65,-61.37,27_33,0.02
10.67,-61.37,27_34,0.02
10.690000000000001,-61.37,27_35,0.02
10.71,-61.370000000000005,27_36,0.02
10.73,-61.37,27_37,0.02
10.749999999999998,-61.37,27_38,0.02
10.770000000000001,-61.37,27_39,0.02
10.79,-61.370000000000005,27_40,0.02
10.81,-61.37,27_41,0.02
10.07,-61.349999999999994,28_4,0.02
10.09,-61.349999999999994,28_5,0.02
10.110000000000001,-61.349999999999994,28_6,0.02
10.129999999999999,-61.35,28_7,0.02
10.15,-61.349999999999994,28_8,0.02
10.17,-61.349999999999994,28_9,0.02
10.19,-61.349999999999994,28_10,0.02
10.21,-61.35,28_11,0.02
10.23,-61.349999999999994,28_12,0.02
10.25,-61.349999999999994,28_13,0.02
10.27,-61.349999999999994,28_14,0.02
10.29,-61.35,28_15,0.02
10.31,-61.349999999999994,28_16,0.02
10.33,-61.349999999999994,28_17,0.02
10.35,-61.349999999999994,28_18,0.02
10.370000000000001,-61.35,28_19,0.02
10.39,-61.349999999999994,28_20,0.02
10.41,-61.349999999999994,28_21,0.02
10.43,-61.349999999999994,28_22,0.02
10.450000000000001,-61.35,28_23,0.02
10.469999999999999,-61.349999999999994,28_24,0.02
10.49,-61.349999999999994,28_25,0.02
10.51,-61.349999999999994,28_26,0.02
10.53,-61.349999999999994,28_27,0.02
10.550000000000002,-61.35,28_28,0.02
10.57,-61.349999999999994,28_29,0.02
10.59,-61.349999999999994,28_30,0.02
10.61,-61.349999999999994,28_31,0.02
10.629999999999999,-61.35,28_32,0.02
10.649999999999999,-61.349999999999994,28_33,0.02
10.67,-61.349999999999994,28_34,0.02
10.690000000000001,-61.349999999999994,28_35,0.02
10.710000000000003,-61.35,28_36,0.02
10.73,-61.349999999999994,28_37,0.02
10.750000000000002,-61.349999999999994,28_38,0.02
10.77,-61.349999999999994,28_39,0.02
10.79,-61.35,28_40,0.02
10.81,-61.349999999999994,28_41,0.02
10.07,-61.330000000000005,29_4,0.02
10.09,-61.330000000000005,29_5,0.02
10.109999999999998,-61.330000000000005,29_6,0.02
10.129999999999997,-61.330000000000005,29_7,0.02
10.15,-61.330000000000005,29_8,0.02
10.17,-61.330000000000005,29_9,0.02
10.19,-61.330000000000005,29_10,0.02
10.209999999999999,-61.330000000000005,29_11,0.02
10.23,-61.330000000000005,29_12,0.02
10.25,-61.330000000000005,29_13,0.02
10.27,-61.330000000000005,29_14,0.02
10.290000000000001,-61.330000000000005,29_15,0.02
10.309999999999999,-61.330000000000005,29_16,0.02
10.33,-61.330000000000005,29_17,0.02
10.35,-61.330000000000005,29_18,0.02
10.370000000000001,-61.330000000000005,29_19,0.02
10.39,-61.330000000000005,29_20,0.02
10.41,-61.330000000000005,29_21,0.02
10.429999999999998,-61.330000000000005,29_22,0.02
10.45,-61.330000000000005,29_23,0.02
10.47,-61.330000000000005,29_24,0.02
10.49,-61.330000000000005,29_25,0.02
10.51,-61.330000000000005,29_26,0.02
10.53,-61.330000000000005,29_27,0.02
10.55,-61.330000000000005,29_28,0.02
10.57,-61.330000000000005,29_29,0.02
10.59,-61.330000000000005,29_30,0.02
10.61,-61.330000000000005,29_31,0.02
10.629999999999999,-61.330000000000005,29_32,0.02
10.65,-61.330000000000005,29_33,0.02
10.67,-61.330000000000005,29_34,0.02
10.690000000000001,-61.330000000000005,29_35,0.02
10.71,-61.330000000000005,29_36,0.02
10.73,-61.330000000000005,29_37,0.02
10.749999999999998,-61.330000000000005,29_38,0.02
10.770000000000001,-61.330000000000005,29_39,0.02
10.79,-61.330000000000005,29_40,0.02
10.81,-61.330000000000005,29_41,0.02
10.07,-61.309999999999995,30_4,0.02
10.09,-61.309999999999995,30_5,0.02
10.110000000000001,-61.309999999999995,30_6,0.02
10.129999999999999,-61.309999999999995,30_7,0.02
10.15,-61.309999999999995,30_8,0.02
10.17,-61.309999999999995,30_9,0.02
10.19,-61.309999999999995,30_10,0.02
